sample	type	H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995
TARGET_20_PAVIDD_03A_01R_RBS	KMT2A.Fusion	0.4136364579700106
TARGET_20_PAVIDJ_09A_01R_RBS	CBFB.MYH11	0.08476297051669804
TARGET_20_PAVIDK_09A_01R_RBS	KMT2A.Fusion	0.25689891969661044
TARGET_20_PAVIGB_09A_01R_RBS	KMT2A.Fusion	0.3217451989757709
TARGET_20_PAVINA_09A_01R_RBS	RUNX1.RUNX1T1	-0.13445616799636792
TARGET_20_PAVIRD_09A_01R_RBS	KMT2A.Fusion	-0.14791116009239902
TARGET_20_PAVIYH_09A_01R_RBS	KMT2A.Fusion	0.3186425928165244
TARGET_20_PAVIZK_03A_01R_RBS	CEBPA	0.4578552961151801
TARGET_20_PAVJIT_09A_01R_RBS	NUP214.Fusion	0.4790914461049334
TARGET_20_PAVJPL_09A_01R_RBS	unknown	0.5578139636832499
TARGET_20_PAVJRF_09A_01R_RBS	TCF4.ZEB2	0.4107429309776981
TARGET_20_PAVJVS_09A_01R_RBS	UBTF	0.21169445407800147
TARGET_20_PAVJXG_09A_01R_RBS	KMT2A.Fusion	-0.02360637214416574
TARGET_20_PAVKAU_03A_01R_RBS	KMT2A.Fusion	-0.2083107234016113
TARGET_20_PAVKEM_09A_01R_RBS	CBFB.MYH11	0.3779876294612233
TARGET_20_PAVKEX_09A_01R_RBS	KMT2A.Fusion	-0.11942873832650697
TARGET_20_PAVKJD_09A_01R_RBS	KMT2A.Fusion	0.3066136564011283
TARGET_20_PAVKJV_09A_01R_RBS	CEBPA	0.3642121433154799
TARGET_20_PAVKKI_03A_01R_RBS	NUP98.Fusion	0.18740860953470145
TARGET_20_PAVLDU_09A_01R_RBS	NPM1	0.563153848974231
TARGET_20_PAVLJH_09A_01R_RBS	CBFB.MYH11	0.3357971850699842
TARGET_20_PAVLWV_09A_01R_RBS	NPM1	0.36581819216518136
TARGET_20_PAVLYV_03A_01R_RBS	KMT2A.Fusion	0.5905352030203284
TARGET_20_PAVMEH_09A_01R_RBS	CEBPA	0.3909045087935755
TARGET_20_PAVMNA_09A_01R_RBS	UBTF	0.3367620093740832
TARGET_20_PAVNKI_09A_01R_RBS	CBFB.MYH11	0.21626026507038887
TARGET_20_PAVNUW_03A_01R_RBS	KMT2A.Fusion	0.10634652001098496
TARGET_20_PAVPFR_09A_01R_RBS	RUNX1.RUNX1T1	-0.012056351105221819
TARGET_20_PAVPKA_09A_01R_RBS	CBFA2T3.GLIS2	0.5764095425949821
TARGET_20_PAVRJP_09A_01R_RBS	KMT2A.Fusion	0.1667052173395164
TARGET_20_PAVRWU_09A_01R_RBS	UBTF	0.20667367274057893
TARGET_20_PAVSAN_09A_01R_RBS	CBFB.MYH11	0.23231479167989644
TARGET_20_PAVSFB_09A_01R_RBS	KMT2A.Fusion	0.646547940013865
TARGET_20_PAVSVU_09A_01R_RBS	unknown	0.004415142435065246
TARGET_20_PAVTDU_09A_01R_RBS	unknown	0.33243299828659456
TARGET_20_PAVTFI_03A_01R_RBS	CBFA2T3.GLIS2	0.5035849409879802
TARGET_20_PAVTLN_09A_01R_RBS	NPM1.MLF1	0.4517085900224139
TARGET_20_PAVTRM_03A_01R_RBS	NPM1	-0.054140282464051094
TARGET_20_PAVTRU_09A_01R_RBS	NUP98.Fusion	0.5654036205120091
TARGET_20_PAVTRU_09A_01R_replicate	NUP98.Fusion	0.5885291534831877
TARGET_20_PAVUAP_09A_01R_RBS	CBFB.MYH11	0.14798198265182774
TARGET_20_PAVUBN_09A_01R_RBS	SFPQ.ZFP36L2	0.21549513393036338
TARGET_20_PAVUGM_03A_01R_RBS	NUP214.Fusion	-0.1186892892395093
TARGET_20_PAVVAM_09A_01R_RBS	RUNX1.RUNX1T1	0.020833233480942855
TARGET_20_PAVVAT_09A_01R_RBS	NUP214.Fusion	0.3567369373077675
TARGET_20_PAVVKU_03A_01R_RBS	unknown	0.15902455904937843
TARGET_20_PAVWBW_09A_01R_RBS	KMT2A.Fusion	0.2986640291196312
TARGET_20_PAVWNG_09A_01R_RBS	RBM15.MRTFA	0.3376953053651639
TARGET_20_PAVWRN_09A_01R_RBS	PICALM.Fusion	0.31434027371578904
TARGET_20_PAVWVT_09A_01R_RBS	NUP98.Fusion	0.5077723191363677
TARGET_20_PAVXEB_09A_01R_RBS	ETS.Fusion	0.5134352405083135
TARGET_20_PAVXLY_03A_01R_RBS	KMT2A.Fusion	0.22462766702003323
TARGET_20_PAVZEC_09A_01R_RBS	ETS.Fusion	0.4654397867510806
TARGET_20_PAVZIB_09A_01R_RBS	CEBPA	0.17937147075505036
TARGET_20_PAWAMB_09A_01R_RBS	NUP98.Fusion	0.40334785542951684
TARGET_20_PAWAMM_03A_01R_RBS	CEBPA	0.47533102007847394
TARGET_20_PAWANV_09A_01R_RBS	CBFB.MYH11	0.55388839584313
TARGET_20_PAWBSE_09A_01R_RBS	CBFB.MYH11	0.44310289370381345
TARGET_20_PAWBSJ_09A_01R_RBS	RUNX1.RUNX1T1	0.2611087669940315
TARGET_20_PAWCCR_09A_01R_RBS	unknown	-0.315893904878481
TARGET_20_PAWCJK_09A_01R_RBS	NPM1	0.6402987621650154
TARGET_20_PAWDTX_09A_01R_RBS	unknown	-0.24828324348123457
TARGET_20_PAWEBG_09A_01R_RBS	KMT2A.Fusion	0.33796961228294137
TARGET_20_PAWECG_09A_01R_RBS	unknown	-0.22304646508719023
TARGET_20_PAWEKL_09A_01R_RBS	RUNX1.RUNX1T1	0.4107419831945183
TARGET_20_PAWENM_09A_01R_RBS	CBFB.MYH11	0.06291920633068086
TARGET_20_PAWEYY_09A_01R_RBS	KMT2A.Fusion	0.29130351392419945
TARGET_20_PAWEYY_09A_01R_replicate	KMT2A.Fusion	0.31646604594787486
TARGET_20_PAWFRK_09A_01R_RBS	unknown	-0.010406027306521017
TARGET_20_PAWHCT_09A_01R_RBS	KMT2A.Fusion	-0.12063019368658658
TARGET_20_PAWHFW_09A_01R_RBS	UBTF	0.37212424222572316
TARGET_20_PAWHJI_09A_01R_RBS	KMT2A.Fusion	0.12319485849357584
TARGET_20_PAWHKK_03A_01R_RBS	KMT2A.Fusion	0.4676112329861006
TARGET_20_PAWHML_09A_01R_RBS	CEBPA	0.5712512435331321
TARGET_20_PAWHRR_09A_01R_RBS	RUNX1.RUNX1T1	0.2873804325751467
TARGET_20_PAWHTL_03A_01R_RBS	CBFB.MYH11	-0.1575073778171872
TARGET_20_PAWIWJ_09A_01R_RBS	unknown	-0.11774651814303565
TARGET_20_PAWKGX_09A_01R_RBS	KMT2A.Fusion	0.6651021904190854
TARGET_20_PAWKJC_09A_01R_RBS	UBTF	0.0709770071864753
TARGET_20_PAWLEB_09A_01R_RBS	KMT2A.Fusion	0.5574970517697175
TARGET_20_PAWLKE_09A_01R_RBS	KMT2A.Fusion	0.4485029798850731
TARGET_20_PAWLUE_09A_01R_RBS	CBFB.MYH11	0.5407975882608007
TARGET_20_PAWLYM_09A_01R_RBS	NPM1	0.14894107608485377
TARGET_20_PAWMFY_03A_01R_RBS	KMT2A.Fusion	-0.08196649969414863
TARGET_20_PAWMKP_09A_01R_RBS	RUNX1.RUNX1T1	0.4183806542710064
TARGET_20_PAWNHW_09A_01R_RBS	CBFB.MYH11	0.18530413895629363
TARGET_20_PAWNPG_09A_01R_RBS	RUNX1.RUNX1T1	0.45542523475929303
TARGET_20_PAWNPU_09A_01R_RBS	KMT2A.Fusion	-0.1492025082067462
TARGET_20_PAWNYX_09A_01R_RBS	KMT2A.Fusion	-0.03899224350535604
TARGET_20_PAWPKR_03A_01R_RBS	KMT2A.Fusion	0.6841060951215191
TARGET_20_PAWPMA_09A_01R_RBS	unknown	0.08169181682127559
TARGET_20_PAWPVX_09A_01R_RBS	ETS.Fusion	0.4097205546472817
TARGET_20_PAWRPX_09A_01R_RBS	KMT2A.Fusion	0.6144637558813069
TARGET_20_PAWRVC_09A_01R_RBS	KMT2A.Fusion	0.6543945085884595
TARGET_20_PAWSHR_03A_01R_RBS	RUNX1.RUNX1T1	-0.07410797951163645
TARGET_20_PAWSJC_09A_01R_RBS	CBFB.MYH11	0.4738929986629592
TARGET_20_PAWSRG_09A_01R_RBS	CBFB.MYH11	0.198371419200061
TARGET_20_PAWTNN_09A_01R_RBS	KMT2A.Fusion	0.5265669384350338
TARGET_20_PAWTSD_09A_01R_RBS	KMT2A.Fusion	0.5638777069619338
TARGET_20_PAWTSD_09A_01R_replicate	KMT2A.Fusion	0.5689612583298956
TARGET_20_PAWTWW_09A_01R_RBS	KMT2A.Fusion	0.5166852702889696
TARGET_20_PAWTYT_09A_01R_RBS	NUP98.Fusion	0.6720054521776561
TARGET_20_PAWUAE_09A_01R_RBS	KMT2A.Fusion	0.30283521029073096
TARGET_20_PAWUMM_09A_01R_RBS	KMT2A.Fusion	0.5567088476033556
TARGET_20_PAWUNI_09A_01R_RBS	UBTF	0.5591273396867483
TARGET_20_PAWUTL_09A_01R_RBS	ETS.Fusion	0.5734619133717003
TARGET_20_PAWUUY_09A_01R_RBS	RUNX1.RUNX1T1	0.5194332794017908
TARGET_20_PAWUWJ_09A_01R_RBS	CEBPA	0.29430929269459327
TARGET_20_PAWVCG_09A_01R_RBS	KMT2A.Fusion	0.5059311052074907
TARGET_20_PAWVGF_09A_01R_RBS	CBFB.MYH11	0.5609185274705935
TARGET_20_PAWVGN_09A_01R_RBS	KMT2A.Fusion	0.48070693833018713
TARGET_20_PAWWCW_03A_01R_RBS	KMT2A.Fusion	0.03718733626295105
TARGET_20_PAWWEE_09A_01R_RBS	RUNX1.RUNX1T1	0.22806176920394716
TARGET_20_PAWWRG_09A_01R_RBS	KMT2A.Fusion	0.21813237643536337
TARGET_20_PAWWXU_09A_01R_RBS	RUNX1.RUNX1T1	0.17362155080093625
TARGET_20_PAWWZL_09A_01R_RBS	RUNX1.RUNX1T1	0.3727495777498474
TARGET_20_PAWXIA_09A_01R_RBS	CBFA2T3.GLIS2	0.24730951836480444
TARGET_20_PAWYJH_09A_01R_RBS	KMT2A.Fusion	0.5818943531943926
TARGET_20_PAWYNR_09A_01R_RBS	KMT2A.Fusion	0.30953668411557755
TARGET_20_PAWYZR_09A_01R_RBS	CBFA2T3.GLIS2	0.10784025015418282
TARGET_20_PAWZAU_09A_01R_RBS	CBFB.MYH11	0.044719780275739314
TARGET_20_PAWZAW_09A_01R_RBS	RUNX1.RUNX1T1	0.08472523248540723
TARGET_20_PAWZAX_09A_01R_RBS	KMT2A.Fusion	0.20451936193393722
TARGET_20_PAWZZN_09A_01R_RBS	CEBPA	0.3964846887463998
TARGET_20_PAXAXY_09A_01R_RBS	CEBPA	0.18891053299782165
TARGET_20_PAXBAZ_09A_01R_RBS	TEC.MLLT10	0.11913041075723758
TARGET_20_PAXCFI_03A_01R_RBS	UBTF	0.16672199110616612
TARGET_20_PAXCKK_09A_01R_RBS	KAT6A.CREBBP	-0.050458460942835966
TARGET_20_PAXCYN_09A_01R_RBS	KMT2A.Fusion	0.5139034683302253
TARGET_20_PAXDDY_09A_01R_RBS	CBFB.MYH11	-0.23326804333038004
TARGET_20_PAXDEG_09A_01R_RBS	unknown	-0.13639920074828948
TARGET_20_PAXDHL_09A_01R_RBS	NPM1	0.5680548549309868
TARGET_20_PAXDSN_09A_01R_RBS	KMT2A.Fusion	0.5666492759893216
TARGET_20_PAXDXW_09A_01R_RBS	NIPBL.HOXB9	0.1960507780835703
TARGET_20_PAXELP_09A_01R_RBS	RUNX1.RUNX1T1	0.1008188474782373
TARGET_20_PAXEPC_09A_01R_RBS	NPM1	0.019039811956690612
TARGET_20_PAXETC_09A_01R_RBS	KMT2A.Fusion	0.39498838314030255
TARGET_20_PAXGDG_09A_01R_RBS	CBFB.MYH11	0.3238724918262978
TARGET_20_PAXGGM_03A_01R_RBS	KMT2A.Fusion	0.2734997829381877
TARGET_20_PAXGHE_09A_01R_RBS	KMT2A.Fusion	0.45999135734736135
TARGET_20_PAXGIX_09A_01R_RBS	KMT2A.Fusion	0.23113527509742088
TARGET_20_PAXHPH_09A_01R_RBS	RBM15.MRTFA	0.3406958159005836
TARGET_20_PAXICE_09A_01R_RBS	KMT2A.Fusion	0.622868171498646
TARGET_20_PAXIFA_09A_01R_RBS	KMT2A.Fusion	0.3559746842989167
TARGET_20_PAXIJB_09A_01R_RBS	RUNX1.RUNX1T1	0.2231072025751094
TARGET_20_PAXISI_09A_01R_RBS	CEBPA	0.3603321573004526
TARGET_20_PAXJAA_09A_01R_RBS	PICALM.Fusion	0.1453413381703333
TARGET_20_PAXJFS_03A_01R_RBS	NUP98.Fusion	0.22328606743973317
TARGET_20_PAXJGA_09A_01R_RBS	CBFB.MYH11	0.22983286297223593
TARGET_20_PAXJMY_09A_01R_RBS	TCR.ZFP36L2	-0.3030977544771823
TARGET_20_PAXJXC_09A_01R_RBS	KMT2A.Fusion	0.5714931695716403
TARGET_20_PAXJZX_09A_01R_RBS	unknown	0.3564370736873061
TARGET_20_PAXKEZ_09A_01R_RBS	UBTF	0.091750925884359
TARGET_20_PAXLBH_09A_01R_RBS	RUNX1.RUNX1T1	0.5224478999459347
TARGET_20_PAXLDI_09A_01R_RBS	KMT2A.Fusion	0.30808450994963504
TARGET_20_PAXLEE_09A_01R_RBS	UBTF	0.5075633982140408
TARGET_20_PAXLGL_09A_01R_RBS	KMT2A.Fusion	0.20281293460927524
TARGET_20_PAXLHS_09A_01R_RBS	KMT2A.Fusion	0.2645435554134351
TARGET_20_PAXLWH_09A_01R_RBS	NUP98.Fusion	0.5506280538128171
TARGET_20_PAXMIJ_09A_01R_RBS	RUNX1.RUNX1T1	0.38287264594916287
TARGET_20_PAXMKT_09A_01R_RBS	CBFB.MYH11	0.5542464966534976
TARGET_20_PAXMLI_09A_01R_RBS	KMT2A.Fusion	0.5712801208301952
TARGET_20_PAXMLW_09A_01R_RBS	UBTF	0.487196904684916
TARGET_20_PAXMNR_09A_01R_RBS	KMT2A.Fusion	0.5390023558154836
TARGET_20_PAXMPG_09A_01R_RBS	ETS.Fusion	0.4572839244200519
TARGET_20_PAXWMS_03A_01R_RBS	NUP98.Fusion	0.46342668122783043
TARGET_20_PAXXBC_09A_01R_RBS	CBFB.MYH11	0.10816156319175121
TARGET_20_PAXXCX_09A_01R_RBS	CBFB.MYH11	0.12949678747759916
TARGET_20_PAYASV_09A_01R_RBS	NUP98.Fusion	0.18932961947909832
TARGET_20_PAYLLP_09A_01R_RBS	UBTF	0.018606159777219845
